Model version,Images trained,Time [s],Loss (G),Loss (D),Loss (D-Real),Loss (D-Fake),Loss (D-GP)
1,56176,720.1204650402069,6.0325418,-10.754457,-7.50754,-6.0325418,2.7856238
2,112416,1442.640997171402,5.3724484,-7.5844474,-4.265824,-5.3724484,2.0538251
3,168336,2165.3763513565063,7.6444945,-6.581022,-0.9462152,-7.6444945,2.0096867
4,225040,2888.0855820178986,5.133335,-6.082594,-2.5702786,-5.133335,1.62102
5,283696,3610.9035952091217,6.909888,-5.989465,-0.71575445,-6.909888,1.636177
6,341440,4333.642207145691,10.922041,-5.8569136,3.43918,-10.922041,1.6259472
7,398912,5056.412931442261,10.389757,-5.153456,3.8727798,-10.389757,1.3635212
8,456816,5779.210996389389,9.567036,-4.582026,3.789198,-9.567036,1.1958116
9,514448,6502.036828279495,11.35465,-4.0821714,6.2542253,-11.35465,1.0182533
10,571760,7224.8819353580475,7.8812423,-3.4387186,3.6544938,-7.8812423,0.78803
11,629296,7947.579370975494,8.578408,-3.0216055,4.8533278,-8.578408,0.7034747
12,686720,8670.439800262451,6.4602566,-2.773401,3.0856538,-6.4602566,0.6012024
13,743792,9393.272090911865,7.4452653,-2.7041116,4.187829,-7.4452653,0.5533243
14,800640,10116.0642786026,8.098015,-2.5375524,5.054747,-8.098015,0.50571537
15,857344,10839.089772224426,8.109383,-2.4468281,5.1957335,-8.109383,0.4668219
16,914448,11561.889636039734,9.321952,-2.3254018,6.5535464,-9.321952,0.4430041
17,971344,12284.690353631973,10.141394,-2.2601993,7.4414954,-10.141394,0.43969953
18,1028000,13007.586626052856,10.450559,-2.1581626,7.8923144,-10.450559,0.4000819
19,1084832,13730.331755399704,11.84341,-2.187004,9.238928,-11.84341,0.41747776
20,1141504,14453.175958871841,11.813891,-2.057821,9.37687,-11.813891,0.37920105
21,1198128,15176.430591344833,11.348951,-2.003287,8.991534,-11.348951,0.35413063
22,1255408,15899.378892660141,12.800464,-2.032786,10.408069,-12.800464,0.35960883
23,1312736,16622.137184143066,12.150727,-1.9273394,9.884369,-12.150727,0.33901915
24,1369328,17345.214534521103,11.699318,-1.8857841,9.484357,-11.699318,0.3291773
25,1425728,18068.069217205048,12.622578,-1.8763431,10.42031,-12.622578,0.325925
26,1482240,18790.828961133957,10.818669,-1.833811,8.654768,-10.818669,0.3300909
27,1538784,19513.708958387375,9.369387,-1.7933222,7.2676578,-9.369387,0.30840826
28,1594960,20236.51931285858,10.048152,-1.756256,7.9736066,-10.048152,0.3182894
29,1651104,20959.307509422302,10.266421,-1.6968887,8.282952,-10.266421,0.28658065
30,1707552,21682.203117609024,9.985624,-1.6680343,8.032324,-9.985624,0.28526556
31,1763728,22404.978412628174,9.047459,-1.5714782,7.2240505,-9.047459,0.25193065
32,1820032,23127.773888349533,10.058206,-1.5888003,8.211398,-10.058206,0.25800622
33,1877456,23851.079652547836,9.100953,-1.547664,7.2904716,-9.100953,0.26281807
34,1934368,24574.010871887207,9.887832,-1.4968963,8.146787,-9.887832,0.24414855
35,1991072,25296.774958133698,9.791342,-1.505623,8.04938,-9.791342,0.23633936
36,2047808,26019.623789787292,9.398517,-1.4558977,7.7112713,-9.398517,0.2313483
37,2104800,26742.430262565613,9.417375,-1.4859076,7.7104363,-9.417375,0.22103074
38,2162112,27465.148290634155,9.732519,-1.4192755,8.085556,-9.732519,0.22768621
39,2218784,28187.928775548935,11.054554,-1.4109327,9.424133,-11.054554,0.21948785
40,2276192,28910.842057704926,9.8729315,-1.4142765,8.227684,-9.8729315,0.23097204
41,2333008,29633.883824825287,-13.430296,-1.112374,-14.753194,13.430296,0.210523
42,2389520,30356.612852334976,-44.729023,-1.1629398,-46.07799,44.729023,0.18603168
43,2445792,31079.393774032593,-38.695335,-1.2471675,-40.130474,38.695335,0.1879698
44,2501872,31802.133823633194,-35.25416,-1.296236,-36.747116,35.25416,0.19671538
45,2557904,32525.0250313282,-31.792953,-1.3227254,-33.312294,31.792953,0.196614
46,2614144,33247.80788588524,-29.025532,-1.3397555,-30.566181,29.025532,0.20089576
47,2671008,33970.52194595337,-25.679693,-1.2834466,-27.15683,25.679693,0.1936877
48,2727792,34693.33115196228,-24.7319,-1.3090146,-26.235758,24.7319,0.19484141
49,2783712,35416.084166288376,-24.062355,-1.3057569,-25.555431,24.062355,0.18732078
50,2839440,36138.86217164993,-23.12734,-1.3312992,-24.647919,23.12734,0.18927918
51,2895296,36861.58966588974,-22.415098,-1.3448826,-23.958134,22.415098,0.19815132
52,2951760,37584.301850795746,-22.114418,-1.3110698,-23.618744,22.114418,0.19325484
53,3008336,38307.084285736084,-21.14482,-1.3073616,-22.641048,21.14482,0.18887092
54,3065040,39029.95592594147,-21.607595,-1.3359629,-23.14595,21.607595,0.2023903
55,3121456,39752.901153326035,-21.507448,-1.3096976,-23.00962,21.507448,0.19247587
56,3177744,40475.703080654144,-20.703314,-1.3375145,-22.238264,20.703314,0.19743529
57,3233968,41198.689932346344,-21.135548,-1.325541,-22.657486,21.135548,0.19639656
58,3290736,41921.74236917496,-20.85365,-1.3096195,-22.357098,20.85365,0.19382784
59,3346704,42644.561180353165,-21.592651,-1.3157892,-23.110018,21.592651,0.20157842
60,3402560,43367.57509493828,-21.106905,-1.3204621,-22.622383,21.106905,0.19501613
61,3458272,44090.729214429855,-20.918245,-1.3067496,-22.409006,20.918245,0.1840097
62,3515056,44814.20635223389,-21.13865,-1.2791904,-22.603249,21.13865,0.18540809
63,3571344,45537.12448453903,-20.706017,-1.295884,-22.191431,20.706017,0.18953127
64,3627072,46260.04180312157,-21.493847,-1.2922415,-22.974781,21.493847,0.18869221
65,3683504,46982.916744470596,-20.878258,-1.3042847,-22.371279,20.878258,0.18873315
