Model version,Images trained,Time [s],Loss (G),Loss (D),Loss (D-Real),Loss (D-Fake),Loss (D-GP)
1,53440,720.182094335556,2.194341,-17.980513,-20.724558,-2.194341,4.938388
2,108528,1443.1604647636414,-0.028310474,-6.415275,-8.285616,0.028310474,1.8420289
3,163392,2165.9769892692566,1.1819024,-5.5561204,-5.9091597,-1.1819024,1.5349407
4,218656,2888.795316696167,-0.9808748,-4.654063,-6.8357363,0.9808748,1.2007982
5,274784,3611.7759103775024,-1.0454108,-3.7360113,-5.655732,1.0454108,0.87431026
6,330928,4334.570178747177,0.5648295,-3.2231655,-3.3776796,-0.5648295,0.7193432
7,386752,5057.5127856731415,1.4999061,-2.7919035,-1.8659534,-1.4999061,0.5739562
8,441872,5780.392897129059,4.960301,-2.8483274,1.5210065,-4.960301,0.59096676
9,496992,6503.1726241111755,3.5223064,-2.6466053,0.33761412,-3.5223064,0.5380871
10,552560,7225.884584188461,4.6640034,-2.48927,1.6833221,-4.6640034,0.49141103
11,608432,7948.56485915184,4.415744,-2.5049627,1.4331825,-4.415744,0.47759855
12,664672,8671.324737787247,3.658431,-2.3682632,0.8240545,-3.658431,0.46611345
13,720080,9394.200694561005,3.961701,-2.2982569,1.2336167,-3.961701,0.42982745
14,775520,10117.021610498428,2.9680057,-2.2576296,0.30881998,-2.9680057,0.40155587
15,831216,10839.924673080444,3.7210264,-2.166485,1.1790372,-3.7210264,0.37550423
16,886368,11562.612822055817,3.0460217,-2.0033388,0.69688654,-3.0460217,0.34579626
17,940672,12285.402869224548,2.6734495,-2.0143607,0.3172755,-2.6734495,0.34181312
18,995424,13008.087290287018,0.60597014,-1.8882917,-1.6088628,-0.60597014,0.3265412
19,1050784,13730.904490232468,1.2685964,-1.8248572,-0.86195654,-1.2685964,0.3056958
20,1106480,14454.02961564064,0.35090226,-1.7558167,-1.6958687,-0.35090226,0.29095414
21,1162320,15176.98369884491,1.2887408,-1.6957812,-0.689172,-1.2887408,0.28213173
22,1218096,15899.803272247314,0.60269076,-1.6422675,-1.3149059,-0.60269076,0.27532914
23,1273760,16622.676023721695,0.61800635,-1.655633,-1.3174589,-0.61800635,0.2798323
24,1329232,17345.812921762466,-0.60584694,-1.5921459,-2.462287,0.60584694,0.26429418
25,1384560,18068.548385620117,-0.22116673,-1.5583009,-2.0234346,0.22116673,0.24396701
26,1439552,18791.68872666359,0.40858677,-1.5214887,-1.3603766,-0.40858677,0.24747467
27,1494912,19514.537014722824,-0.47103265,-1.4769864,-2.1783624,0.47103265,0.23034322
28,1549680,20237.411096811295,-0.43178785,-1.4107386,-2.0609486,0.43178785,0.21842209
29,1604272,20960.347949266434,-1.1173775,-1.3408611,-2.6688206,1.1173775,0.21058176
30,1659680,21683.333624601364,-0.79548335,-1.3809271,-2.3890603,0.79548335,0.21264975
31,1714768,22406.089481830597,-2.1563747,-1.3248628,-3.6818635,2.1563747,0.20062585
32,1769888,23128.82084941864,-2.7047925,-1.2985971,-4.1948843,2.7047925,0.19149515
33,1824656,23851.63577771187,-1.4558514,-1.2860832,-2.932592,1.4558514,0.19065711
34,1879808,24574.74358510971,-2.3385608,-1.304261,-3.8317487,2.3385608,0.18892726
35,1935072,25297.679639577866,-2.284299,-1.2721452,-3.748519,2.284299,0.19207513
36,1989856,26020.557369232178,-1.4653697,-1.2371732,-2.892677,1.4653697,0.1901342
37,2045376,26743.277350902557,-2.0175538,-1.2618474,-3.4666781,2.0175538,0.18727684
38,2100624,27466.108161211014,-2.998467,-1.2215894,-4.394107,2.998467,0.17405063
39,2155232,28188.913041353226,-3.2951264,-1.2526715,-4.735016,3.2951264,0.18721767
40,2209872,28911.809916496277,-2.682773,-1.2414426,-4.105147,2.682773,0.1809315
41,2265344,29634.81334090233,-2.6890485,-1.2280899,-4.100521,2.6890485,0.18338232
42,2320416,30357.560891866684,-2.9036636,-1.2177615,-4.3065104,2.9036636,0.18508534
43,2375248,31080.351924180984,-3.0489202,-1.2264024,-4.451241,3.0489202,0.17591816
44,2430576,31803.175607442856,-2.700263,-1.2273215,-4.109489,2.700263,0.18190464
45,2485248,32526.022906780243,-1.9252602,-1.2430145,-3.3508618,1.9252602,0.18258683
