Model version,Images trained,Time [s],Loss (G),Loss (D),Loss (D-Real),Loss (D-Fake),Loss (D-GP)
1,36896,720.2378475666046,8.473471,-8.190468,-4.4727335,-8.473471,4.7557364
2,74848,1444.1816799640656,17.612335,-3.0341141,13.18417,-17.612335,1.3940517
3,112832,2168.175938844681,20.727503,-6.715421,11.656152,-20.727503,2.3559287
4,151040,2892.2194492816925,19.495361,-6.8641596,10.652785,-19.495361,1.9784162
5,189248,3616.3020589351654,25.167492,-7.6915092,15.135219,-25.167492,2.340762
6,227616,4340.127987146378,41.1964,-0.57176816,38.072765,-41.1964,2.5518672
7,265856,5063.993136167526,40.33983,-4.4714956,34.554127,-40.33983,1.3142076
8,304064,5788.169021368027,38.35705,-3.6016774,33.77119,-38.35705,0.9841885
9,342080,6512.275454282761,45.411255,-2.9198878,41.671555,-45.411255,0.8198105
10,380176,7236.373957395554,33.554134,-3.435092,29.209917,-33.554134,0.909126
11,418096,7960.260747432709,38.13091,-3.057189,34.24937,-38.13091,0.8243487
12,456368,8684.46285200119,42.99399,-3.3309011,38.85302,-42.99399,0.81007713
13,494576,9408.412204742432,31.598183,-3.5120165,27.22512,-31.598183,0.86104757
14,532832,10132.455849647522,50.64166,-3.3667808,46.443,-50.64166,0.8318796
15,570928,10856.595429897308,49.222088,-3.5184631,44.903114,-49.222088,0.80050945
16,609024,11580.555589199066,26.667479,-2.8537998,22.991968,-26.667479,0.82171047
17,647152,12304.656675338745,35.303482,-2.9442744,31.644478,-35.303482,0.714728
18,684992,13028.96952342987,37.273056,-3.118541,33.307735,-37.273056,0.84677535
19,722880,13753.023726940155,30.706398,-3.412644,26.478647,-30.706398,0.8151056
20,760944,14477.010658502579,19.256828,-3.3634133,14.996114,-19.256828,0.89730424
21,798928,15201.859095573425,15.968964,-2.9488494,12.272854,-15.968964,0.74725974
22,837072,15925.834233760834,16.006498,-3.2684245,11.971207,-16.006498,0.7668665
23,875168,16649.858147859573,12.527282,-2.9419403,8.781769,-12.527282,0.8035717
24,913200,17374.120981693268,27.030567,-3.2026367,23.108812,-27.030567,0.71911824
25,951200,18098.23507452011,19.159218,-3.0065556,15.518083,-19.159218,0.6345792
26,989216,18822.237987041473,25.546259,-3.072493,21.7433,-25.546259,0.7304666
27,1027184,19546.211232185364,30.158182,-2.9516425,26.54746,-30.158182,0.6590807
28,1065328,20270.201149463654,27.440695,-3.0720832,23.65043,-27.440695,0.71818125
29,1103344,20994.291771888733,23.624,-3.2876704,19.5895,-23.624,0.74683017
30,1141312,21718.32826590538,25.017782,-3.1423979,21.183731,-25.017782,0.6916541
31,1179248,22442.636820793152,22.014694,-3.1086123,18.207268,-22.014694,0.6988161
32,1217216,23167.074814081192,25.318472,-3.1453757,21.47435,-25.318472,0.6987465
33,1255168,23890.939856529236,31.216068,-2.9985404,27.54981,-31.216068,0.6677184
34,1293056,24614.972691059113,25.343914,-3.0467155,21.624208,-25.343914,0.67299324
35,1330976,25339.011431217194,30.049486,-3.367114,25.911613,-30.049486,0.770759
36,1368880,26063.09725546837,29.366138,-3.2993064,25.270245,-29.366138,0.7965872
37,1406528,26787.60293364525,21.404556,-3.0468946,17.686409,-21.404556,0.6712535
38,1444176,27511.490521907806,31.177765,-3.3817084,27.025513,-31.177765,0.77054286
39,1481872,28235.636558294296,26.918493,-3.3406608,22.869135,-26.918493,0.70870084
40,1519632,28959.64788389206,21.944017,-3.0768034,18.170582,-21.944017,0.6966326
41,1557520,29685.01841044426,23.317719,-2.8869605,19.838404,-23.317719,0.5923548
