Model version,Images trained,Time [s],Loss (G),Loss (D),Loss (D-Real),Loss (D-Fake),Loss (D-GP)
1,37040,720.3293061256409,3.5889115,-7.2286944,-6.9888234,-3.5889115,3.3490405
2,75216,1444.4540283679962,4.233594,-1.2204643,2.0874515,-4.233594,0.92567885
3,113552,2168.8332488536835,7.3950577,-4.582182,1.2571621,-7.3950577,1.5557132
4,151808,2892.8719866275787,10.477177,-8.4077015,-0.2575025,-10.477177,2.3269765
5,190032,3616.8559811115265,14.019069,-7.476806,4.143121,-14.019069,2.3991406
6,228384,4340.933862924576,14.846553,-6.888614,5.9303308,-14.846553,2.0276082
7,266272,5065.1301827430725,13.2994585,-6.4291596,5.040273,-13.2994585,1.8300258
8,304400,5789.191806316376,14.025844,-4.871419,7.5745173,-14.025844,1.5799085
9,342688,6513.164812088013,14.370586,-4.0198927,9.254692,-14.370586,1.0960013
10,380960,7237.070344686508,4.0977015,-0.34579104,2.4883604,-4.0977015,1.2635499
11,419248,7961.0830364227295,30.253853,-3.1536314,26.22469,-30.253853,0.8755313
12,457600,8685.038047552109,19.351976,-2.9033127,15.62399,-19.351976,0.82467586
13,495904,9408.851445913315,19.091621,-2.719953,15.601553,-19.091621,0.77011347
14,533952,10133.044649362564,16.863556,-3.1059268,12.935615,-16.863556,0.822015
15,571936,10857.049856901169,21.287989,-3.089124,17.360783,-21.287989,0.83808213
16,610160,11580.893002986908,22.064857,-3.1967356,18.11985,-22.064857,0.74827313
17,648608,12304.916641235352,13.40319,-2.5331657,10.131666,-13.40319,0.7383579
18,686960,13029.04459476471,27.3052,-3.0802476,23.49033,-27.3052,0.73462284
19,725072,13753.094414234161,24.224045,-3.4284337,19.964384,-24.224045,0.83122736
20,762928,14477.102660655975,24.602709,-2.9029095,21.019505,-24.602709,0.6802931
21,800848,15201.805193901062,23.05227,-3.0436687,19.28197,-23.05227,0.72663593
22,838928,15926.000013828278,22.06729,-2.3988864,19.061348,-22.06729,0.6070569
23,877088,16650.087480545044,15.746192,-3.126725,11.887087,-15.746192,0.7323809
24,915200,17374.39557313919,19.499628,-2.1108193,16.646318,-19.499628,0.74249
25,953216,18098.622160196304,30.93671,-2.778394,27.515625,-30.93671,0.64269096
26,991216,18822.569694519043,21.4802,-2.6171591,18.252846,-21.4802,0.6101948
27,1029248,19546.558526277542,21.417978,-2.6365228,18.132895,-21.417978,0.6485631
28,1067248,20270.70941710472,23.172812,-3.065377,19.424734,-23.172812,0.68269855
29,1105072,20995.205628156662,16.682814,-2.6097205,13.473655,-16.682814,0.59943897
30,1142944,21719.07826948166,17.610115,-2.8694606,14.151594,-17.610115,0.58906186
31,1180864,22443.028423309326,10.466004,-2.6956112,7.12448,-10.466004,0.64591324
32,1219088,23167.32835149765,21.84194,-2.6878586,18.564281,-21.84194,0.5897999
33,1257120,23891.418927669525,21.056196,-2.7900484,17.615625,-21.056196,0.65052074
34,1294912,24615.52183675766,23.613209,-2.9112015,20.082535,-23.613209,0.61947274
35,1332672,25339.58305621147,16.853724,-2.999401,13.171515,-16.853724,0.6828087
36,1370560,26063.493253946304,19.013422,-2.8755958,15.519992,-19.013422,0.6178325
37,1408448,26787.4189889431,19.508522,-2.5358238,16.368402,-19.508522,0.6042981
38,1446480,27511.546398878098,20.570187,-2.5959864,17.403633,-20.570187,0.57056546
39,1484352,28235.574463129044,24.438637,-2.5986674,21.279362,-24.438637,0.56060714
40,1522080,28959.987344026566,20.580952,-2.6338108,17.341984,-20.580952,0.605157
41,1559888,29684.672280550003,25.805996,-2.6330664,22.61492,-25.805996,0.55800855
42,1597648,30408.63318157196,19.116621,-2.6074576,15.983743,-19.116621,0.5254213
43,1635344,31132.891320466995,18.881344,-2.408751,15.930949,-18.881344,0.5416428
44,1673040,31856.837636947632,20.587553,-2.679852,17.344751,-20.587553,0.5629474
45,1710880,32580.994867563248,17.909689,-2.6825733,14.652662,-17.909689,0.57445294
