Model version,Images trained,Time [s],Loss (G),Loss (D),Loss (D-Real),Loss (D-Fake),Loss (D-GP)
44,2423088,31802.322865247726,2.7647318840026855,-1.1621406078338623,1.4215009212493896,-2.7647318840026855,0.18109042942523956
45,2477888,32525.065269947052,3.297041416168213,-1.1947355270385742,1.9122209548950195,-3.297041416168213,0.19008472561836243
46,2532864,33247.86186313629,2.7427258491516113,-1.1640647649765015,1.4107929468154907,-2.7427258491516113,0.16786839067935944
47,2587520,33971.003108501434,3.247802734375,-1.2093604803085327,1.8568886518478394,-3.247802734375,0.18155322968959808
48,2642208,34693.76398921013,2.4709858894348145,-1.1973421573638916,1.0983308553695679,-2.4709858894348145,0.17531293630599976
49,2696768,35416.712782382965,3.5900001525878906,-1.187732458114624,2.2300992012023926,-3.5900001525878906,0.1721685379743576
50,2751360,36139.60308241844,3.2693636417388916,-1.2166000604629517,1.8657203912734985,-3.2693636417388916,0.18704310059547424
51,2806336,36862.740233421326,2.7150070667266846,-1.1880892515182495,1.346186876296997,-2.7150070667266846,0.18073120713233948
52,2860896,37585.59025263786,3.3252055644989014,-1.2207615375518799,1.9240219593048096,-3.3252055644989014,0.18042203783988953
53,2915200,38308.374203920364,2.943023920059204,-1.1424306631088257,1.6178838014602661,-2.943023920059204,0.18270936608314514
54,2969824,39031.19217586517,4.478820323944092,-1.159504771232605,3.1463711261749268,-4.478820323944092,0.17294453084468842
55,3024624,39753.97260808945,3.4199206829071045,-1.1755986213684082,2.0761220455169678,-3.4199206829071045,0.16820013523101807
56,3079392,40477.152945518494,3.163054943084717,-1.208905816078186,1.7781134843826294,-3.163054943084717,0.17603538930416107
57,3134000,41200.05623579025,3.036342144012451,-1.213014006614685,1.641648292541504,-3.036342144012451,0.1816801130771637
58,3189104,41922.929814338684,2.2345798015594482,-1.196718692779541,0.8564540147781372,-2.2345798015594482,0.18140704929828644
59,3243680,42646.14908051491,1.2972732782363892,-1.1919981241226196,-0.06648632138967514,-1.2972732782363892,0.17176133394241333
60,3298096,43369.061757564545,1.2449289560317993,-1.1946637630462646,-0.12230496108531952,-1.2449289560317993,0.1725701540708542
61,3353200,44092.513370752335,1.6335383653640747,-1.1914565563201904,0.2661527693271637,-1.6335383653640747,0.17592903971672058
62,3408144,44815.30091094971,1.2313982248306274,-1.2013211250305176,-0.1435859352350235,-1.2313982248306274,0.17366307973861694
63,3462544,45538.16585087776,1.6668510437011719,-1.1897811889648438,0.3019649088382721,-1.6668510437011719,0.17510487139225006
64,3517072,46260.947939395905,1.5524343252182007,-1.2194043397903442,0.15072675049304962,-1.5524343252182007,0.1823032647371292
