Model version,Images trained,Time [s],Loss (G),Loss (D),Loss (D-Real),Loss (D-Fake),Loss (D-GP)
1,29232,720.400591135025,0.9078298,-9.636134,-12.321539,-0.9078298,3.5932329
2,59248,1443.532576084137,0.62546176,-1.5977436,-1.8629208,-0.62546176,0.8906392
3,89312,2166.6177310943604,1.7771721,-1.8669955,-0.6624877,-1.7771721,0.57266414
4,119232,2889.4157428741455,0.64922345,-3.4542499,-3.7287965,-0.64922345,0.9237699
5,149200,3612.3409028053284,0.73062795,-2.9629147,-3.0685287,-0.73062795,0.83624184
6,179360,4335.218782901764,0.04512133,-2.9323592,-3.660782,-0.04512133,0.77354443
7,209648,5058.243325710297,3.57134,-2.6212702,0.28074276,-3.57134,0.6693273
8,240000,5781.314025878906,1.1809505,-2.3513827,-1.795579,-1.1809505,0.62514657
9,270288,6504.546564340591,3.2126331,-2.1028976,0.6316122,-3.2126331,0.4781234
10,300336,7227.347760677338,2.8914073,-1.9791638,0.41446707,-2.8914073,0.49777684
11,330464,7950.164129257202,8.641214,-1.7141459,6.4961987,-8.641214,0.43087015
12,360720,8673.282141208649,9.352075,-1.702351,7.251338,-9.352075,0.39838603
13,390992,9396.353720903397,8.589626,-1.6712523,6.542524,-8.589626,0.37584978
14,421168,10119.242822408676,9.632907,-1.7062232,7.484144,-9.632907,0.4425395
15,451184,10842.223136425018,7.507789,-1.6329275,5.564833,-7.507789,0.31002787
16,481120,11565.158261537552,6.5596733,-1.4075977,4.859204,-6.5596733,0.29287174
17,510800,12288.02172756195,9.77131,-1.5285807,7.883509,-9.77131,0.35921997
18,540448,13011.010991811752,11.124209,-1.5951532,9.22527,-11.124209,0.30378672
19,570560,13734.185919046402,9.048853,-1.406727,7.352038,-9.048853,0.2900894
20,600720,14457.425320863724,6.524698,-1.37817,4.8736176,-6.524698,0.27291
21,630752,15180.737258911133,11.834091,-1.5338532,10.01416,-11.834091,0.28607884
22,660688,15903.635714054108,11.098896,-1.3950931,9.430834,-11.098896,0.2729708
23,690944,16626.523250579834,10.514266,-1.5461553,8.6935835,-10.514266,0.27452773
24,721104,17349.502269268036,9.585918,-1.5849916,7.697568,-9.585918,0.30335918
25,750944,18072.793398618698,10.899992,-1.3782604,9.26254,-10.899992,0.25919175
26,780720,18796.122219324112,7.9708667,-1.2708082,6.4571805,-7.9708667,0.24287787
27,810512,19519.175016880035,9.029312,-1.3719125,7.3555017,-9.029312,0.3018985
28,840144,20242.30815935135,9.585129,-1.1985482,8.158467,-9.585129,0.22811289
29,869792,20965.162764787674,6.7343802,-1.3427486,5.1288643,-6.7343802,0.2627672
